Asset               Return Mean         Return Standard Deviation
NVDA                0.00556886          0.0211878           
GOOG                0.00587238          0.0182483           
AAPL                0.00280696          0.0118315           
IONQ                0.00153126          0.0393723           
=============================================================================================
The function is: max(0, (x1 * 277.769989 + x2 * 101.320000 + x3 * 162.360001 + x4 * 5.080000) - 620)
The integration bounds are: 
[0.497061, 1.51408]
[0.567913, 1.44383]
[0.71885, 1.28676]
[0.0565957, 1.94647]
=============================================================================================
Points         Variance       Final Price    Time           
100000000      0.002959       17.660857      3.124074       
100000000      0.002959       17.660857      3.337615       
100000000      0.002959       17.660857      3.236678       
100000000      0.002959       17.660857      3.112474       
100000000      0.002959       17.660857      3.052217       
100000000      0.002959       17.660857      3.086144       
100000000      -nan           0.000000       3.326016       
100000000      0.000000       0.000000       4.555283       
100000000      0.002959       17.660857      4.028587       
100000000      0.002959       17.660857      3.346951       
100000000      0.000000       0.000000       4.570747       
100000000      0.002959       17.660857      3.271353       
100000000      0.002959       17.660857      3.323926       
100000000      0.002959       17.660857      2.089822       
100000000      0.002959       17.660857      2.700630       
100000000      0.000000       0.000000       2.961661       
100000000      0.002959       17.660857      10.472118      
100000000      0.002959       17.660857      10.376653      
100000000      0.002959       17.660857      9.818108       
100000000      0.002959       17.660857      10.381974      
100000000      0.002959       17.660857      1.783953       
100000000      0.002959       17.660857      3.144230       
100000000      0.002982       18.450243      3.761927       
100000000      0.002590       14.647273      3.765855       
100000000      0.002963       18.331029      3.733291       
100000000      0.002969       17.525716      3.762331       
100000000      0.000000       0.000000       2.672890       
100000000      0.000744       5.544994       2.253120       
100000000      0.000744       5.544994       2.011128       
100000         0.023537       5.545001       1.782043       
1000000        0.007443       5.545001       1.838317       
100000         -nan           4.173221       2.695026       
100000         0.000000       0.000000       2.076956       
100000         -nan           0.846361       1.739549       
100000         0.000000       6.050418       1.782021       
100000         0.000000       1.951275       1.749983       
100000         0.000000       4.661191       2.394448       
100000         0.000000       4.608198       1.751390       
100000         0.000000       4.655352       1.091160       
100000         0.000000       4.463603       1.141121       
100000         0.000000       3.202869       1.758030       
100000         0.000000       3.752825       1.084409       
100000         0.000000       4.114970       1.124579       
100000         0.000000       4.819431       1.108013       
100000         0.000000       2.851675       1.138227       
100000         0.000000       4.562882       0.503695       
100000         0.000000       0.102121       4.070229       
100000         0.000000       0.148094       3.367286       
100000         0.000000       0.152809       3.373744       
100000         0.000000       0.080681       4.747599       
100000         0.000000       0.115327       4.035375       
100000         0.000000       0.080282       4.180411       
100000         0.000000       0.096781       7.717712       
100000         0.000000       0.096861       7.055366       
100000         0.000000       0.096722       7.095099       
100000         0.000000       3.496153       1.816437       
100000         0.000000       3.488355       1.856422       
100000         0.000000       1.724708       2.073981       
100000         0.000000       1.724708       2.714675       
10             0.000000       2.084208       2.515729       
10             0.000000       4.215470       1.782976       
10             0.000000       4.215470       1.791186       
10             0.000000       4.215470       1.762596       
10             0.000000       4.215470       2.541114       
10             0.000000       4.215470       2.346101       
10             0.000000       21.629396      2.487579       
10             0.000000       21.629396      2.350050       
10             0.000000       21.629396      1.813910       
10             0.000000       21.629396      1.722867       
10             0.000000       21.629396      1.762778       
10             0.000000       21.629396      1.828136       
10             0.000000       21.629396      2.328149       
1000           0.000000       4.101563       1.774328       
10             0.000000       21.629396      1.720019       
10             0.000000       21.629396      1.740818       
10             0.000000       21.629396      2.491912       
10             0.000000       21.629396      1.743011       
10             0.000000       21.629396      1.763396       
10             0.000000       21.629396      2.328618       
10             0.000000       21.629396      2.637668       
10             0.000000       21.629396      2.389826       
10             0.000000       21.629396      2.304316       
10             0.000000       21.629396      2.440979       
10             0.000000       21.629396      2.224637       
10             0.000000       21.629396      2.388327       
10             0.000000       21.629396      2.266688       
10             0.000000       21.629396      2.236209       
10             0.000000       21.629396      1.745074       
10             0.000000       21.629396      1.735111       
10             0.000000       21.629396      1.760604       
10             0.000000       21.629396      1.775008       
10             0.000000       11144.978010   1.690724       
100000         0.000000       1056090.237354 1.869296       
100            0.000000       83454.441317   1.751954       
100            0.000000       83454.441317   1.775310       
100            0.000000       83454.441317   1.768327       
100000         0.000000       1056090.237354 1.848698       
1000           0.000000       159095.978769  1.779547       
1000           0.000000       159095.978769  1.725750       
1000           0.000000       159095.978769  1.708048       
100            0.000000       83454.441317   1.792839       
100000         0.000000       1056090.237354 1.840734       
100000         0.000000       1056090.237354 1.820529       
100000         0.000000       1056090.237354 1.829318       
100000         0.000000       1056090.247219 2.462804       
100000         0.000000       0.045496       2.504598       
1000           0.000000       0.006854       2.445017       
1000           0.000000       0.006854       1.801988       
10000000       0.000000       4.247321       6.203955       
10000000       0.000000       4.248639       5.586148       
10000000       0.000000       4.248971       39.547960      
10000000       0.000000       4.249023       39.717153      
