Date,Open,High,Low,Close,Adj Close,Volume
2023-03-01,4.760000,4.770000,4.560000,4.620000,4.620000,1927000
2023-03-02,4.540000,4.770000,4.460000,4.760000,4.760000,2179000
2023-03-03,4.800000,5.050000,4.785000,5.030000,5.030000,2405800
2023-03-06,5.070000,5.210000,4.900000,4.930000,4.930000,2333700
2023-03-07,4.960000,5.130000,4.820000,4.940000,4.940000,2225500
2023-03-08,4.970000,5.150000,4.864000,5.060000,5.060000,2135800
2023-03-09,5.050000,5.190000,4.770000,4.830000,4.830000,3300100
2023-03-10,4.830000,4.840000,4.490000,4.560000,4.560000,3782800
2023-03-13,4.470000,4.790000,4.380000,4.710000,4.710000,3784400
2023-03-14,4.770000,4.930000,4.730000,4.790000,4.790000,2361400
2023-03-15,4.640000,4.800000,4.630000,4.770000,4.770000,2366100
2023-03-16,4.770000,4.880000,4.680000,4.800000,4.800000,1816700
2023-03-17,4.820000,4.890000,4.635000,4.730000,4.730000,2666100
2023-03-20,4.720000,4.759000,4.610000,4.610000,4.610000,2310000
2023-03-21,4.650000,4.940000,4.630000,4.870000,4.870000,5128100
2023-03-22,4.880000,4.980000,4.650000,4.650000,4.650000,2518200
2023-03-23,4.720000,5.080000,4.710000,4.840000,4.840000,3364700
2023-03-24,4.840000,4.955000,4.745000,4.880000,4.880000,2341100
2023-03-27,4.940000,5.235000,4.840000,5.120000,5.120000,3741600
2023-03-28,5.120000,5.130000,4.650000,4.700000,4.700000,4003700
2023-03-29,4.820000,5.140000,4.800000,5.130000,5.130000,3382800
2023-03-30,5.200000,5.350000,5.040000,5.080000,5.080000,4318500
